S/N,QUESTION,OPTION1,OPTION2,OPTION3,OPTION4,ANSWER
22,"For he shall have judgment without mercy, that hath shewed no mercy; and mercy rejoiceth against judgment.",JAMES 2:8,JAMES 2:10,JAMES 2:13,JAMES 2:17,3
23,"Even so faith, if it hath not works, is dead, being alone.",JAMES 2:8,JAMES 2:10,JAMES 2:13,JAMES 2:17,4
24,"Thou believest that there is one God; thou doest well: the devils also believe, and tremble.",JAMES 2:17,JAMES 2:19,JAMES 2:20,JAMES 2:23,2
25,"But wilt thou know, O vain man, that faith without works is dead?",JAMES 2:17,JAMES 2:19,JAMES 2:20,JAMES 2:23,3
26,"And the scripture was fulfilled which saith, Abraham believed God, and it was imputed unto him for righteousness: and he was called the Friend of Gof.",JAMES 2:17,JAMES 2:19,JAMES 2:20,JAMES 2:23,4
27,"For as the body without the spirit is dead, so faith without works is dead aslo.",JAMES 2:17,JAMES 2:20,JAMES 2:26,JAMES 3:2,3
28,"For in many things we offend all. If any man offend not in word, the same is a perfect man, and able also to bridle the whole body.",JAMES 3:2,JAMES 3:8,JAMES 3:13,JAMES 3:16,1
29,"But the tongue can no man tame; it is an unruly evil, full of deadly poison.",JAMES 3:2,JAMES 3:8,JAMES 3:13,JAMES 3:16,2
30,Who is a wise man and endued with knowledge among you? Let him shew out a good conversation his works with meekness of wisdom.,JAMES 3:2,JAMES 3:8,JAMES 3:13,JAMES 3:16,3
31,"For where envying and strife is, there is confusion and every evil work.",JAMES 3:2,JAMES 3:8,JAMES 3:13,JAMES 3:16,4
32,"But the wisdom that is from above is first pure, then peaceable, gentle, and easy to be intreated, full of mercy and good fruits, without partiality, and without hypocrisy.",JAMES 3:17,JAMES 3:18,JAMES 4:3,JAMES 4:4,1
33,And the fruit of righteousness is sown in peace of them that make peace.,JAMES 3:17,JAMES 3:18,JAMES 4:3,JAMES 4:4,2
34,"Ye ask, and receive not, because ye ask amiss, that ye may consume it upon your lusts.",JAMES 3:17,JAMES 3:18,JAMES 4:3,JAMES 4:4,3
35,"Ye adulterers and adulteresses, know ye not that the friendship of the world is enmity with God? Whosoever therefore will be a friend of the world is the enemy of God.",JAMES 3:17,JAMES 3:18,JAMES 4:3,JAMES 4:4,4
36,"Do ye think that the scripture saith in vain, The spirit that dwelleth in us lusteth to envy?",JAMES 4:5,JAMES 4:6,JAMES 4:7,JAMES 4:8,1
37,"But he giveth more grace. Wherefore he saith, God resisteth the proud, but giveth grace unto the humble.",JAMES 4:5,JAMES 4:6,JAMES 4:7,JAMES 4:8,2
38,"Submit yourselves therefore to God. Resist the devil, and he will flee from you.",JAMES 4:5,JAMES 4:6,JAMES 4:7,JAMES 4:8,3
39,"Draw nigh to God, and he will draw nigh to you. Cleanse your hands, ye sinners; and purify your hearts, ye double minded.",JAMES 4:5,JAMES 4:6,JAMES 4:7,JAMES 4:8,4
40,"Humble yourselves in the sight of the Lord, and he shall lift you up.",JAMES 4:10,JAMES 4:11,JAMES 4:14,JAMES 4:15,1
41,"Speak not evil one of another, brethren. He that speaketh evil of his brother, and judgeth his brother, speaketh evil of the law, and judgeth the law, thou art not a doer of the law, but a judge.",JAMES 4:10,JAMES 4:11,JAMES 4:14,JAMES 4:15,2
42,"Whereas ye know not what shall be on the morrow. For what is your life? It is even a vapour, that appeareth for a little time, and then vanisheth away.",JAMES 4:10,JAMES 4:11,JAMES 4:14,JAMES 4:15,3
43,"For that ye ought to say, If the Lord will, we shall live, and do this, or that.",JAMES 4:10,JAMES 4:11,JAMES 4:14,JAMES 4:15,4
44,"Therefore to him that knoweth to do good, and doeth it not, to him it is sin.",JAMES 4:7,JAMES 4:15,JAMES 4:17,JAMES 5:7,3
45,"Be patient therefore, brethren, unto the coming of the Lord. Behold, the husbandman waiteth for the precious fruit of the earth, and hath long patience for it, until he receive the earlya and latter rain.",JAMES 5:7,JAMES 5:8,JAMES 5:9,JAMES 5:12,1
46,Be ye also patient; stablish your hearts: for the coming of the Lord draweth nigh.,JAMES 5:7,JAMES 5:8,JAMES 5:9,JAMES 5:12,2
47,"Grudge not one against another, brethren, lest ye be condemned: behold, the judge standeth before the door.",JAMES 5:7,JAMES 5:8,JAMES 5:9,JAMES 5:12,3
48,"But above all things, my brethren, swear not, neither by heaven, neither by the earth, neither by any other oath: but let your yea be yea; and your nay, nay; lest ye fall into condemnation.",JAMES 5:7,JAMES 5:8,JAMES 5:9,JAMES 5:12,4
49,Is any among you afflicted? Let him pray. Is any merry? Let him sing psalms.,JAMES 5:13,JAMES 5:14,JAMES 5:15,JAMES 5:16,1
50,"Is any sick among you? Let him call for the elders of the church; and let them pray over him, anointing him with oil in the name of the Lord.",JAMES 5:13,JAMES 5:14,JAMES 5:15,JAMES 5:16,2
51,"And the prayer of faith shall save the sick, and the Lord shall raise him up; and if he hath committed sins, they shall be forgiven him.",JAMES 5:13,JAMES 5:14,JAMES 5:15,JAMES 5:16,3
52,"Confess your faults one to another, and pray one for another, that ye may be healed. The effectual fervent prayer of a righteous man availeth much.",JAMES 5:13,JAMES 5:14,JAMES 5:15,JAMES 5:16,4
53,"Let him know, that he which converteth the sinner from the error of his way shall save a soul from death, and shall hide a multitude of sins.",JAMES 5:7,JAMES 5:13,JAMES 5:16,JAMES 5:20,4
